Scan:     33          NGC1052 2005-12-27 +01 01 41.0
          RADIO                  Jy    
        km/s-LSR                 I
    2298.1304448018709081     23.6426315
    2297.8012333427354861    -31.9940281
    2297.4720218836337153    -29.7005863
    2297.1428104244987480    -26.2737122
    2296.8135989653305842    -20.1202431
    2296.4843875062620100      1.3720688
    2296.1551760470938461      1.4436485
    2295.8259645879920754      1.4167362
    2295.4967531288571081      1.3884017
    2295.1675416697216860      1.4312953
    2294.8383302106199153      1.4826678
    2294.5091187514849480      1.4640058
    2294.1799072923167842      1.4358149
    2293.8506958332145587      1.4490496
    2293.5214843740800461      1.4567505
    2293.1922729149446241      1.4673927
    2292.8630614558428533      1.4779502
    2292.5338499966742347      1.4837757
    2292.2046385375397222      1.4845635
    2291.8754270784374967      1.4543765
    2291.5462156193029841      1.4369222
    2291.2170041602007586      1.4621055
    2290.8877927010653366      1.4823188
    2290.5585812418971727      1.4640458
    2290.2293697828285985      1.4582945
    2289.9001583236604347      1.4843163
    2289.5709468645254674      1.4904093
    2289.2417354054236966      1.4629073
    2288.9125239462887293      1.4454077
    2288.5833124871201107      1.4659904
    2288.2541010280515366      1.4730284
    2287.9248895688833727      1.4590843
    2287.5956781097816020      1.4647052
    2287.2664666506466347      1.4753820
    2286.9372551915116674      1.4649397
    2286.6080437324098966      1.4514266
    2286.2788322732417328      1.4685949
    2285.9496208141063107      1.4891770
    2285.6204093550049947      1.4946264
    2285.2911978958695727      1.4966397
    2284.9619864367346054      1.4957143
    2284.6327749776328346      1.5007391
    2284.3035635184646708      1.5030887
    2283.9743520593292487      1.4876028
    2283.6451406002279327      1.4682410
    2283.3159291410925107      1.4619542
    2282.9867176819902852      1.4633228
    2282.6575062228557726      1.4620260
    2282.3282947636871540      1.4612743
    2281.9990833046190346      1.4728975
    2281.6698718454504160      1.4812198
    2281.3406603863154487      1.4766101
    2281.0114489272132232      1.4769553
    2280.6822374680787107      1.4860902
    2280.3530260089100921      1.4925245
    2280.0238145498083213      1.4880351
    2279.6946030906733540      1.4785212
    2279.3653916315715833      1.4760411
    2279.0361801724366160      1.4783276
    2278.7069687133011939      1.4730926
    2278.3777572541994232      1.4659282
    2278.0485457950312593      1.4608898
    2277.7193343358962920      1.4625040
    2277.3901228767945213      1.4746308
    2277.0609114176595540      1.4774096
    2276.7316999585241319      1.4823822
    2276.4024884994223612      1.4942273
    2276.0732770402541973      1.4918141
    2275.7440655811856232      1.4858668
    2275.4148541220174593      1.4830606
    2275.0856426628824920      1.4822075
